device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,burst_burn_in_slots,policy,interval_low_inclusive,interval_high_exclusive,count,fraction
device_0,0.375,1707,1.2,42.0,0.1,drop,48,16,3,0.19756,0.3714936166119789,3179,6821,1000,P2,100,250.0,2,0.00020002000200020003
device_0,0.375,1707,1.2,42.0,0.1,drop,48,16,3,0.19756,0.3714936166119789,3179,6821,1000,P2,250,500.0,0,0.0
device_0,0.375,1707,1.2,42.0,0.1,drop,48,16,3,0.19756,0.3714936166119789,3179,6821,1000,P2,500,inf,0,0.0
device_0,0.375,1708,1.2,42.0,0.1,drop,48,16,3,0.19968,0.3728274067949136,3026,6974,1000,P2,1,2.0,2474,0.24742474247424742
device_0,0.375,1708,1.2,42.0,0.1,drop,48,16,3,0.19968,0.3728274067949136,3026,6974,1000,P2,2,3.0,948,0.09480948094809481
device_0,0.375,1708,1.2,42.0,0.1,drop,48,16,3,0.19968,0.3728274067949136,3026,6974,1000,P2,3,5.0,1117,0.11171117111711171
device_0,0.375,1708,1.2,42.0,0.1,drop,48,16,3,0.19968,0.3728274067949136,3026,6974,1000,P2,5,10.0,1837,0.18371837183718373
device_0,0.375,1708,1.2,42.0,0.1,drop,48,16,3,0.19968,0.3728274067949136,3026,6974,1000,P2,10,20.0,2020,0.20202020202020202
device_0,0.375,1708,1.2,42.0,0.1,drop,48,16,3,0.19968,0.3728274067949136,3026,6974,1000,P2,20,50.0,1452,0.14521452145214522
device_0,0.375,1708,1.2,42.0,0.1,drop,48,16,3,0.19968,0.3728274067949136,3026,6974,1000,P2,50,100.0,149,0.014901490149014901
device_0,0.375,1708,1.2,42.0,0.1,drop,48,16,3,0.19968,0.3728274067949136,3026,6974,1000,P2,100,250.0,2,0.00020002000200020003
device_0,0.375,1708,1.2,42.0,0.1,drop,48,16,3,0.19968,0.3728274067949136,3026,6974,1000,P2,250,500.0,0,0.0
