device,L,deadline_ratio,epsilon,skip_mode,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_state_bad_share_mean,violation_state_bad_share_std,selected_v_mean,selected_v_std
device_0,5,1.5,0.1,late,P0,0.06215730666666667,0.0008646997993138073,0.10000000000000002,0.0,4.0,1.0,102.33333333333333,4.932882862316246,0.207,0.0115325625946708,,
device_0,5,1.5,0.1,late,P1,0.06267066666666667,0.0008507841440302796,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,5,1.5,0.1,late,P2,0.06019066666666666,0.0008507841440302834,0.10000000000000002,0.0,26.666666666666668,6.658328118479393,156.0,9.848857801796104,1.0,0.0,,
device_0,5,1.5,0.1,late,P2prime,0.06019066666666666,0.0008507841440302795,0.10000000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,5,1.5,0.1,late,P3,0.06019066666666666,0.0008507841440302811,0.10000000000000002,0.0,17.0,6.082762530298219,208.33333333333334,7.637626158259731,1.0,0.0,1000.0,0.0
device_0,5,2.0,0.01,drop,P0,0.06201850666666667,0.0008608813988775366,0.01,0.0,1.6666666666666667,0.5773502691896258,1.0,1.0,0.22,0.010000000000000009,,
device_0,5,2.0,0.01,drop,P1,0.06267066666666667,0.0008507841440302796,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,5,2.0,0.01,drop,P2,0.060982666666666664,0.0008507841440302834,0.01,0.0,17.0,6.082762530298219,15.333333333333334,3.055050463303893,1.0,0.0,,
device_0,5,2.0,0.01,drop,P2prime,0.060982666666666664,0.0008507841440302834,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,5,2.0,0.01,drop,P3,0.06099152,0.0008558133179613432,0.01,0.0,1.6666666666666667,0.5773502691896257,0.6666666666666666,0.5773502691896258,0.9933333333333333,0.0057735026918962545,10.0,0.0
device_0,5,2.0,0.01,late,P0,0.06262437333333333,0.0008559527550825138,0.01,0.0,1.6666666666666667,0.5773502691896257,1.0,1.0,0.18666666666666668,0.025166114784235832,,
device_0,5,2.0,0.01,late,P1,0.06267066666666667,0.0008507841440302796,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,5,2.0,0.01,late,P2,0.06242266666666666,0.0008507841440302811,0.01,0.0,17.0,6.082762530298219,15.333333333333334,3.055050463303893,1.0,0.0,,
device_0,5,2.0,0.01,late,P2prime,0.06242266666666666,0.0008507841440302795,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,5,2.0,0.01,late,P3,0.06242266666666666,0.0008507841440302811,0.01,0.0,6.0,6.928203230275509,2.0,1.7320508075688772,1.0,0.0,400.0,519.6152422706632
