device,L,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,sha256
device_0,5,1702,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2081,0.7524122495851582,0,1000,aa039285baea895f334a0e7eaed8101b386b2d88ca136677fb9a00e24cbe34da
device_0,5,1702,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2081,0.7524122495851582,0,100,ac572d4bf00ae089f8213cc567140ad448f9241cc3b3c9b18dc8f0ae763a0846
device_0,5,1702,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2081,0.7524122495851582,0,100,9855456ca17ec35a1e687af02400f03147b57249364f0fc530a8f6b898af07a0
device_0,5,1702,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2081,0.7524122495851582,0,500,e8fde84e7fc8e83a9eec15bb0a3e3c26449195376fad9a7546e379dd9c351454
device_0,5,1702,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2081,0.7524122495851582,0,500,e9c6f40c96e76e64709b106f4a11136607007101f6032e6b4474e07b6b9f648a
device_0,5,1702,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2081,0.7524122495851582,0,1000,5208ff9b530f719101d84f8a29d6a85d165814ee9ed62507bd729ce1203d69b1
device_0,5,1702,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2081,0.7524122495851582,0,1000,286a5554333e9a8262db70a15ef45fee118a156cf360e65619cf99f1ce3b9d60
device_0,5,1703,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.1984,0.7616854360775162,0,100,b8f33a3463f43d95c8513a833d0089e713beda26ec01fdbd2d5014794ac224d0
device_0,5,1703,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.1984,0.7616854360775162,0,100,2582969086fff23f82860121a07a836b942e701d87cb1bfcd6857178472d430e
device_0,5,1703,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.1984,0.7616854360775162,0,500,68eb867fcb95b3300edc10e2b86f1b418b4901df2138e133c67656f963cad223
device_0,5,1703,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.1984,0.7616854360775162,0,500,d2f97e1b74044d94b622b0ff5979b7f4e474e495c42cda88107c0e863dc15323
device_0,5,1703,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.1984,0.7616854360775162,0,1000,432b943966807b3fb69487bcb3ce675a9f6a170191a72fbd9c404c59d76b0a6c
device_0,5,1703,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.1984,0.7616854360775162,0,1000,ec28f363cd820293f114a1e2ff053991239146156931d9e8e116f5af7433246b
device_0,5,1703,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.1984,0.7616854360775162,0,100,6262fea03f0ddfaf58981d8c4a6915f3df490932d94092370e5629ef67a3d8a3
device_0,5,1703,2.0,72.09,0.01,late,40.0,10.0,4.0,0.1984,0.7616854360775162,0,100,f6067fcf2e2ec26082351e937ddf11b970d82887a77d52d11cadefcce08f84aa
device_0,5,1703,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.1984,0.7616854360775162,0,500,a8e8ca5fcf4fe4a3be56bc443e1bf8c0dff448748b2769ec98c30b1c2e884e97
device_0,5,1703,2.0,72.09,0.05,late,40.0,10.0,4.0,0.1984,0.7616854360775162,0,500,5be9585ec2044c939c844b5fa02bfc9a541b837cfdbd01716ff0a90cebfa06ed
device_0,5,1703,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.1984,0.7616854360775162,0,1000,6729e922ca9643c53bdcba9cd299824a4c64b6ad945218d53d951ae8c7b4b9a5
device_0,5,1703,2.0,72.09,0.1,late,40.0,10.0,4.0,0.1984,0.7616854360775162,0,1000,d49238db91087c2524292ac4109aeb55662c894b4bc8970b3c08496990597877
device_0,10,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.204,0.8777335146591664,0,100,f29e81ac5ce707a219931c8b893a0044e0db6ebdbf87ef28b4f02c13473bce38
device_0,10,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.204,0.8777335146591664,0,100,49b760a3bf718c36ccf974936db51b4c7549dfa5c2425fecb66f0588cc2fb83f
device_0,10,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.204,0.8777335146591664,0,500,7ddc16398d7a412bc008f8440b3ff15e412d82319bf75241dfd52067e5d6710f
device_0,10,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.204,0.8777335146591664,0,500,ec0a5bdffbcd799bf71e910a65fca59d858829df2dd9e0ae5c7b600752876f54
device_0,10,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.204,0.8777335146591664,0,1000,d2d7f0a6f1b28018e46148d45117a7ea72e8c6b1b4619c7f26654979f7ef9d42
device_0,10,1701,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.204,0.8777335146591664,0,1000,b08b882240122e4c79323b0db50b194ece1d20d02eafec140baa37c13d9e42a1
device_0,10,1701,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.204,0.8777335146591664,0,100,7b7481ae0f1297ad30402b47eaf75b77c949cedfbebe20204dcd203f85fe000e
device_0,10,1701,2.0,72.09,0.01,late,40.0,10.0,4.0,0.204,0.8777335146591664,0,100,9c523a170ce13021ff6e7677709891ee2e51b1ab4525ae5beee73df76ef65544
device_0,10,1701,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.204,0.8777335146591664,0,500,bb948591ac331d26a3aab8ad883be1ac779340d1fd73e4fee23657ba3f9229d4
device_0,10,1701,2.0,72.09,0.05,late,40.0,10.0,4.0,0.204,0.8777335146591664,0,500,becbf988404ecf79d7238125222032ed49d2ba448583fdd51f88266b93b5b3ea
device_0,10,1701,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.204,0.8777335146591664,0,1000,b9fbc3133b8d54ed5edd60c57c64add155ecc48412c9a21790056c884ccf677e
device_0,10,1701,2.0,72.09,0.1,late,40.0,10.0,4.0,0.204,0.8777335146591664,0,1000,315af1e56f2dcc3d6d67ac7232f133b62863719a8f491d2012dee004ecb48965
device_0,10,1702,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2006,0.8830505917727561,0,100,9dc52857840b5af30816a590bcfcb6bc5d40900c0890b94c95ec65e0d59045e1
device_0,10,1702,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2006,0.8830505917727561,0,100,9ba5b99e13d075adbbb4086bef51abeb6530227467f8d7cb60a3b90d7891be5f
device_0,10,1702,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2006,0.8830505917727561,0,500,c7e1b1e5492322307a92e4f4abde1886b17be320b87e04773de3dcd56aa26466
device_0,10,1702,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2006,0.8830505917727561,0,500,afafc357ff56680ecf6161c8e2d3299c215dfc632d1bbef7535a67c26ceb5691
device_0,10,1702,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2006,0.8830505917727561,0,1000,0dbca14d1df8b5e94518ca82fbceb9a2a07e58f65cbc98fe011a5546ce19f23f
device_0,10,1702,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2006,0.8830505917727561,0,1000,26ee5979a90c539944e3e8aea7b544f07627cd6f27d1b5c2387f6cc27e717510
device_0,10,1702,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2006,0.8830505917727561,0,100,1b3811656deb5967a534123287a0ff8f81d3204fe5a5368b8f8d35f5ceaf9033
device_0,10,1702,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2006,0.8830505917727561,0,100,35279e3d011576c03fccd353985861f7d189984c74e5dce839c2876b5dfcce8d
device_0,10,1702,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2006,0.8830505917727561,0,500,f6b3a2ed3da0f314ed8947f14be799820d6e77e259a653c05376ec24df83e629
device_0,10,1702,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2006,0.8830505917727561,0,500,5b930a7230002c8aef03cd447e861f586188f9be30346353d4fede2fb253d4f5
