device,L,deadline_ratio,epsilon,skip_mode,discard_gain_percent_mean,discard_gain_percent_std,targeting_gain_percent_mean,targeting_gain_percent_std,oracle_gap_percent_mean,oracle_gap_percent_std,online_recovery_mean,online_recovery_std,p2prime_gap_percent_mean,p2prime_gap_percent_std,pi_bad_observed_mean,pi_bad_observed_std,lag1_autocorr_mean,lag1_autocorr_std
device_0,20,1.5,0.05,drop,4.908474228912838,0.07552549485332272,8.705331796569821,0.272195156482232,13.61380602548266,0.21888609552000882,0.9795450236966828,0.013626560855755863,-7.32442219031674e-15,1.2686271369713512e-14,0.19583333333333333,0.007571877794400356,0.9321018603002895,0.0019918639026756
device_0,20,1.5,0.05,late,0.4156210158631986,0.042677443987939434,1.584511622951796,0.0695497246462382,2.000132638814995,0.032158620668817646,1.0,0.0,0.0,0.0,0.19583333333333333,0.007571877794400356,0.9321018603002895,0.0019918639026756
device_0,20,1.5,0.1,drop,10.12162424703151,0.44877890890292016,17.105987803933804,0.2893431361118333,27.22761205096531,0.4377721910400115,0.9693175355450238,0.008175936513453275,0.21630242674152345,0.2066132424650396,0.19583333333333333,0.007571877794400356,0.9321018603002895,0.0019918639026756
device_0,20,1.5,0.1,late,0.8453125055145989,0.03624425911261922,3.1549527721153865,0.06807016209594932,4.000265277629986,0.06431724133763832,0.9999999999999982,3.212940164695817e-15,0.0403938266806485,0.038584400701291516,0.19583333333333333,0.007571877794400356,0.9321018603002895,0.0019918639026756
device_0,20,2.0,0.01,drop,1.0290318720693907,0.13429130986240942,1.693729333027154,0.17484193475174073,2.722761205096545,0.04377721910400301,0.9632859399684034,0.004542186951917509,0.0,0.0,0.19583333333333333,0.007571877794400356,0.9321018603002895,0.0019918639026756
device_0,20,2.0,0.01,late,0.08283220016994923,0.01903017165947536,0.31719432759306004,0.014016358237167301,0.4000265277630093,0.00643172413375703,,,0.0,0.0,0.19583333333333333,0.007571877794400356,0.9321018603002895,0.0019918639026756
device_0,20,2.0,0.05,drop,4.87352308617806,0.022489533362031265,8.740282939304599,0.19666677158370938,13.61380602548266,0.21888609552000882,0.9795450236966828,0.013626560855755863,-7.32442219031674e-15,1.2686271369713512e-14,0.19583333333333333,0.007571877794400356,0.9321018603002895,0.0019918639026756
device_0,20,2.0,0.05,late,0.3609881410237951,0.035159199507883855,1.6391444977911995,0.06393689246260448,2.000132638814995,0.032158620668817646,1.0,0.0,0.0,0.0,0.19583333333333333,0.007571877794400356,0.9321018603002895,0.0019918639026756
device_0,20,2.0,0.1,drop,10.00298125787815,0.20007109938957346,17.22463079308716,0.5279168421999256,27.22761205096531,0.4377721910400115,0.9693175355450238,0.008175936513453275,0.21630242674152345,0.2066132424650396,0.19583333333333333,0.007571877794400356,0.9321018603002895,0.0019918639026756
device_0,20,2.0,0.1,late,0.7583058441520941,0.027397676437189315,3.2419594334778914,0.09058519636552895,4.000265277629986,0.06431724133763832,0.9999999999999982,3.212940164695817e-15,0.0403938266806485,0.038584400701291516,0.19583333333333333,0.007571877794400356,0.9321018603002895,0.0019918639026756
device_0,50,1.5,0.01,drop,1.0163153967459455,0.06681369495883047,1.7067387172322095,0.07145278298157041,2.7230541139781548,0.0391146758760048,0.9659083728278052,0.0317953086634285,0.0,0.0,0.19576666666666664,0.006757465007925179,0.9743829057347493,0.004264192591102956
device_0,50,1.5,0.01,late,0.07585560708661321,0.023713181199244517,0.32421395468268693,0.027770457957945596,0.4000695617693002,0.005746705934391576,,,0.0,0.0,0.19576666666666664,0.006757465007925179,0.9743829057347493,0.004264192591102956
