N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,elapsed_seconds,slots,J2_iterations
4,independent,0.0,1703,1.2,75.456,62.88,0.05,drop,0.8142167999903904,10000,20
4,independent,0.75,1701,1.2,75.456,62.88,0.05,drop,0.8222501999989618,10000,20
4,independent,0.75,1702,1.2,75.456,62.88,0.05,drop,0.824610700001358,10000,20
4,independent,0.75,1703,1.2,75.456,62.88,0.05,drop,0.8238918999995803,10000,20
4,independent,0.975,1701,1.2,75.456,62.88,0.05,drop,0.8038113999937195,10000,20
4,independent,0.975,1702,1.2,75.456,62.88,0.05,drop,0.8023272000136785,10000,20
4,independent,0.975,1703,1.2,75.456,62.88,0.05,drop,0.7916906000027666,10000,20
4,common,0.0,1701,1.2,75.456,62.88,0.05,drop,0.6115485999907833,10000,20
4,common,0.0,1702,1.2,75.456,62.88,0.05,drop,0.5973403000098187,10000,20
4,common,0.0,1703,1.2,75.456,62.88,0.05,drop,0.5691168000048492,10000,20
4,common,0.75,1701,1.2,75.456,62.88,0.05,drop,0.5526917999959551,10000,20
4,common,0.75,1702,1.2,75.456,62.88,0.05,drop,0.5824945000058506,10000,20
4,common,0.75,1703,1.2,75.456,62.88,0.05,drop,0.5456145000061952,10000,20
4,common,0.975,1701,1.2,75.456,62.88,0.05,drop,0.5567289000027813,10000,20
4,common,0.975,1702,1.2,75.456,62.88,0.05,drop,0.5649070999934338,10000,20
4,common,0.975,1703,1.2,75.456,62.88,0.05,drop,0.5778598000033526,10000,20
4,independent,0.0,1701,1.2,75.456,62.88,0.05,late,0.8673873000079766,10000,20
4,independent,0.0,1702,1.2,75.456,62.88,0.05,late,0.8612655000033556,10000,20
4,independent,0.0,1703,1.2,75.456,62.88,0.05,late,0.8381940999970539,10000,20
4,independent,0.75,1701,1.2,75.456,62.88,0.05,late,0.8390763999923365,10000,20
4,independent,0.75,1702,1.2,75.456,62.88,0.05,late,0.8349109000118915,10000,20
4,independent,0.75,1703,1.2,75.456,62.88,0.05,late,0.8383669000031659,10000,20
4,independent,0.975,1701,1.2,75.456,62.88,0.05,late,0.8454435000021476,10000,20
4,independent,0.975,1702,1.2,75.456,62.88,0.05,late,0.8553364999970654,10000,20
4,independent,0.975,1703,1.2,75.456,62.88,0.05,late,0.8756597000028705,10000,20
4,common,0.0,1701,1.2,75.456,62.88,0.05,late,0.7917568999982905,10000,20
4,common,0.0,1702,1.2,75.456,62.88,0.05,late,0.7626266000006581,10000,20
4,common,0.0,1703,1.2,75.456,62.88,0.05,late,0.7586364000017056,10000,20
4,common,0.75,1701,1.2,75.456,62.88,0.05,late,0.7516934999875957,10000,20
4,common,0.75,1702,1.2,75.456,62.88,0.05,late,0.7313225999969291,10000,20
4,common,0.75,1703,1.2,75.456,62.88,0.05,late,0.6836034000007203,10000,20
4,common,0.975,1701,1.2,75.456,62.88,0.05,late,0.6716255000064848,10000,20
4,common,0.975,1702,1.2,75.456,62.88,0.05,late,0.6693805000104476,10000,20
4,common,0.975,1703,1.2,75.456,62.88,0.05,late,0.7652805999969132,10000,20
4,independent,0.0,1701,1.2,75.456,62.88,0.15,drop,0.9514855000015814,10000,20
4,independent,0.0,1702,1.2,75.456,62.88,0.15,drop,0.888433600004646,10000,20
4,independent,0.0,1703,1.2,75.456,62.88,0.15,drop,0.8996160000097007,10000,20
4,independent,0.75,1701,1.2,75.456,62.88,0.15,drop,0.9194473999959882,10000,20
4,independent,0.75,1702,1.2,75.456,62.88,0.15,drop,0.9436375999939628,10000,20
4,independent,0.75,1703,1.2,75.456,62.88,0.15,drop,0.9450255999981891,10000,20
4,independent,0.975,1701,1.2,75.456,62.88,0.15,drop,0.9521296000020811,10000,20
4,independent,0.975,1702,1.2,75.456,62.88,0.15,drop,0.9358880000072531,10000,20
4,independent,0.975,1703,1.2,75.456,62.88,0.15,drop,0.9411121000011917,10000,20
4,common,0.0,1701,1.2,75.456,62.88,0.15,drop,0.9449391999951331,10000,20
4,common,0.0,1702,1.2,75.456,62.88,0.15,drop,0.8830755999952089,10000,20
4,common,0.0,1703,1.2,75.456,62.88,0.15,drop,0.8022600999975111,10000,20
4,common,0.75,1701,1.2,75.456,62.88,0.15,drop,0.9047025000036228,10000,20
4,common,0.75,1702,1.2,75.456,62.88,0.15,drop,0.9292825999873457,10000,20
4,common,0.75,1703,1.2,75.456,62.88,0.15,drop,0.9366855999978725,10000,20
4,common,0.975,1701,1.2,75.456,62.88,0.15,drop,0.8952388000034261,10000,20
4,common,0.975,1702,1.2,75.456,62.88,0.15,drop,0.8760159999947064,10000,20
4,common,0.975,1703,1.2,75.456,62.88,0.15,drop,0.8883572000049753,10000,20
4,independent,0.0,1701,1.2,75.456,62.88,0.15,late,1.1122872999985702,10000,20
4,independent,0.0,1702,1.2,75.456,62.88,0.15,late,1.0616499000025215,10000,20
4,independent,0.0,1703,1.2,75.456,62.88,0.15,late,1.0497396999999182,10000,20
4,independent,0.75,1701,1.2,75.456,62.88,0.15,late,1.0407820000109496,10000,20
4,independent,0.75,1702,1.2,75.456,62.88,0.15,late,1.0195983000012347,10000,20
4,independent,0.75,1703,1.2,75.456,62.88,0.15,late,1.0585232000012184,10000,20
4,independent,0.975,1701,1.2,75.456,62.88,0.15,late,1.0235450000036508,10000,20
4,independent,0.975,1702,1.2,75.456,62.88,0.15,late,1.0395314000052167,10000,20
4,independent,0.975,1703,1.2,75.456,62.88,0.15,late,1.0123408999934327,10000,20
4,common,0.0,1701,1.2,75.456,62.88,0.15,late,0.9608463000040501,10000,20
4,common,0.0,1702,1.2,75.456,62.88,0.15,late,0.9789183000102639,10000,20
4,common,0.0,1703,1.2,75.456,62.88,0.15,late,0.9134638000105042,10000,20
4,common,0.75,1701,1.2,75.456,62.88,0.15,late,1.0074084000079893,10000,20
4,common,0.75,1702,1.2,75.456,62.88,0.15,late,0.895445700007258,10000,20
4,common,0.75,1703,1.2,75.456,62.88,0.15,late,0.9070011000003433,10000,20
4,common,0.975,1701,1.2,75.456,62.88,0.15,late,0.8691488000040408,10000,20
4,common,0.975,1702,1.2,75.456,62.88,0.15,late,0.8658222999947611,10000,20
4,common,0.975,1703,1.2,75.456,62.88,0.15,late,0.8656936000043061,10000,20
4,independent,0.0,1701,1.35,84.888,62.88,0.05,drop,0.9100291000067955,10000,20
4,independent,0.0,1702,1.35,84.888,62.88,0.05,drop,0.9297389999992447,10000,20
4,independent,0.0,1703,1.35,84.888,62.88,0.05,drop,0.9447463999968022,10000,20
4,independent,0.75,1701,1.35,84.888,62.88,0.05,drop,0.9412814999959664,10000,20
4,independent,0.75,1702,1.35,84.888,62.88,0.05,drop,0.9146970000001602,10000,20
4,independent,0.75,1703,1.35,84.888,62.88,0.05,drop,0.9328247000084957,10000,20
4,independent,0.975,1701,1.35,84.888,62.88,0.05,drop,0.9098314000002574,10000,20
4,independent,0.975,1702,1.35,84.888,62.88,0.05,drop,0.9465006999962498,10000,20
4,independent,0.975,1703,1.35,84.888,62.88,0.05,drop,0.9029691000032471,10000,20
4,common,0.0,1701,1.35,84.888,62.88,0.05,drop,0.6649696999957087,10000,20
4,common,0.0,1702,1.35,84.888,62.88,0.05,drop,0.6431202000094345,10000,20
4,common,0.0,1703,1.35,84.888,62.88,0.05,drop,0.6565692000003764,10000,20
4,common,0.75,1701,1.35,84.888,62.88,0.05,drop,0.5495574999949895,10000,20
4,common,0.75,1702,1.35,84.888,62.88,0.05,drop,0.5378519999940181,10000,20
4,common,0.75,1703,1.35,84.888,62.88,0.05,drop,0.5397477999940747,10000,20
4,common,0.975,1701,1.35,84.888,62.88,0.05,drop,0.653794600002584,10000,20
