N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,elapsed_seconds,slots,J2_iterations
2,independent,0.975,1702,1.2,53.988,44.99,0.15,late,1.5901488999952562,50000,20
2,independent,0.975,1703,1.2,53.988,44.99,0.15,late,1.7011505999980727,50000,20
2,independent,0.975,1704,1.2,53.988,44.99,0.15,late,1.3051489000063157,50000,20
2,independent,0.975,1705,1.2,53.988,44.99,0.15,late,1.7830265999946278,50000,20
2,independent,0.975,1706,1.2,53.988,44.99,0.15,late,1.651283400002285,50000,20
2,independent,0.975,1707,1.2,53.988,44.99,0.15,late,1.5177057000109926,50000,20
2,independent,0.975,1708,1.2,53.988,44.99,0.15,late,1.5477753000013763,50000,20
2,independent,0.975,1709,1.2,53.988,44.99,0.15,late,1.4595255000022007,50000,20
2,independent,0.975,1710,1.2,53.988,44.99,0.15,late,1.6741680999984965,50000,20
2,common,0.0,1701,1.2,53.988,44.99,0.15,late,8.629750699998112,50000,20
2,common,0.0,1702,1.2,53.988,44.99,0.15,late,8.616489500011085,50000,20
2,common,0.0,1703,1.2,53.988,44.99,0.15,late,8.522742899993318,50000,20
2,common,0.0,1704,1.2,53.988,44.99,0.15,late,7.959403500004555,50000,20
2,common,0.0,1705,1.2,53.988,44.99,0.15,late,11.454169599994202,50000,20
2,common,0.0,1706,1.2,53.988,44.99,0.15,late,8.861875600006897,50000,20
2,common,0.0,1707,1.2,53.988,44.99,0.15,late,9.450218899990432,50000,20
2,common,0.0,1708,1.2,53.988,44.99,0.15,late,8.035819999990053,50000,20
2,common,0.0,1709,1.2,53.988,44.99,0.15,late,8.585959400006686,50000,20
2,common,0.0,1710,1.2,53.988,44.99,0.15,late,7.731917199998861,50000,20
2,common,0.75,1701,1.2,53.988,44.99,0.15,late,8.459017400004086,50000,20
2,common,0.75,1702,1.2,53.988,44.99,0.15,late,10.948483899992425,50000,20
2,common,0.75,1703,1.2,53.988,44.99,0.15,late,8.507116599997971,50000,20
2,common,0.75,1704,1.2,53.988,44.99,0.15,late,8.710631299996749,50000,20
2,common,0.75,1705,1.2,53.988,44.99,0.15,late,8.072674399998505,50000,20
2,common,0.75,1706,1.2,53.988,44.99,0.15,late,8.957400200000848,50000,20
2,common,0.75,1707,1.2,53.988,44.99,0.15,late,7.835735200002091,50000,20
2,common,0.75,1708,1.2,53.988,44.99,0.15,late,9.04094749999058,50000,20
2,common,0.75,1709,1.2,53.988,44.99,0.15,late,8.674264300003415,50000,20
2,common,0.75,1710,1.2,53.988,44.99,0.15,late,9.603638200002024,50000,20
2,common,0.975,1701,1.2,53.988,44.99,0.15,late,8.998560899999575,50000,20
2,common,0.975,1702,1.2,53.988,44.99,0.15,late,9.54282869999588,50000,20
2,common,0.975,1703,1.2,53.988,44.99,0.15,late,7.620853599990369,50000,20
2,common,0.975,1704,1.2,53.988,44.99,0.15,late,8.839016400001128,50000,20
2,common,0.975,1705,1.2,53.988,44.99,0.15,late,8.719678499997826,50000,20
2,common,0.975,1706,1.2,53.988,44.99,0.15,late,9.091688399988925,50000,20
2,common,0.975,1707,1.2,53.988,44.99,0.15,late,9.83818489999976,50000,20
2,common,0.975,1708,1.2,53.988,44.99,0.15,late,7.929749500006437,50000,20
2,common,0.975,1709,1.2,53.988,44.99,0.15,late,7.94129509999766,50000,20
2,common,0.975,1710,1.2,53.988,44.99,0.15,late,8.132424299998092,50000,20
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.05,drop,1.1845325999893248,50000,20
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.05,drop,1.1737500000017462,50000,20
2,independent,0.0,1703,1.35,60.73650000000001,44.99,0.05,drop,1.1471940999908838,50000,20
2,independent,0.0,1704,1.35,60.73650000000001,44.99,0.05,drop,1.1639928000076907,50000,20
2,independent,0.0,1705,1.35,60.73650000000001,44.99,0.05,drop,1.1668716999993194,50000,20
2,independent,0.0,1706,1.35,60.73650000000001,44.99,0.05,drop,1.15331020001031,50000,20
2,independent,0.0,1707,1.35,60.73650000000001,44.99,0.05,drop,1.1364733999944292,50000,20
2,independent,0.0,1708,1.35,60.73650000000001,44.99,0.05,drop,1.1763457000051858,50000,20
2,independent,0.0,1709,1.35,60.73650000000001,44.99,0.05,drop,1.1799381000018911,50000,20
2,independent,0.0,1710,1.35,60.73650000000001,44.99,0.05,drop,1.22221229999559,50000,20
2,independent,0.75,1701,1.35,60.73650000000001,44.99,0.05,drop,1.2328134999988833,50000,20
2,independent,0.75,1702,1.35,60.73650000000001,44.99,0.05,drop,1.2252349000045797,50000,20
2,independent,0.75,1703,1.35,60.73650000000001,44.99,0.05,drop,1.2203523999924073,50000,20
2,independent,0.75,1704,1.35,60.73650000000001,44.99,0.05,drop,1.2286543999944115,50000,20
2,independent,0.75,1705,1.35,60.73650000000001,44.99,0.05,drop,1.2380791000032332,50000,20
2,independent,0.75,1706,1.35,60.73650000000001,44.99,0.05,drop,1.2567560000024969,50000,20
2,independent,0.75,1707,1.35,60.73650000000001,44.99,0.05,drop,1.2080069999938132,50000,20
2,independent,0.75,1708,1.35,60.73650000000001,44.99,0.05,drop,1.2066383000055794,50000,20
2,independent,0.75,1709,1.35,60.73650000000001,44.99,0.05,drop,1.2269039999955567,50000,20
2,independent,0.75,1710,1.35,60.73650000000001,44.99,0.05,drop,1.2215700999950059,50000,20
2,independent,0.975,1701,1.35,60.73650000000001,44.99,0.05,drop,1.2093251999904169,50000,20
2,independent,0.975,1702,1.35,60.73650000000001,44.99,0.05,drop,1.210963300007279,50000,20
2,independent,0.975,1703,1.35,60.73650000000001,44.99,0.05,drop,1.2168169999931706,50000,20
2,independent,0.975,1704,1.35,60.73650000000001,44.99,0.05,drop,1.1810320999938995,50000,20
2,independent,0.975,1705,1.35,60.73650000000001,44.99,0.05,drop,1.2334330000012415,50000,20
2,independent,0.975,1706,1.35,60.73650000000001,44.99,0.05,drop,1.190605499999947,50000,20
2,independent,0.975,1707,1.35,60.73650000000001,44.99,0.05,drop,1.132125599993742,50000,20
2,independent,0.975,1708,1.35,60.73650000000001,44.99,0.05,drop,1.1575237999932142,50000,20
2,independent,0.975,1709,1.35,60.73650000000001,44.99,0.05,drop,1.1459591999882832,50000,20
2,independent,0.975,1710,1.35,60.73650000000001,44.99,0.05,drop,1.185943300006329,50000,20
2,common,0.0,1701,1.35,60.73650000000001,44.99,0.05,drop,1.6150656999961939,50000,20
2,common,0.0,1702,1.35,60.73650000000001,44.99,0.05,drop,1.559988399996655,50000,20
2,common,0.0,1703,1.35,60.73650000000001,44.99,0.05,drop,1.5260413999931188,50000,20
2,common,0.0,1704,1.35,60.73650000000001,44.99,0.05,drop,1.5097531000064919,50000,20
2,common,0.0,1705,1.35,60.73650000000001,44.99,0.05,drop,1.6144206000026315,50000,20
2,common,0.0,1706,1.35,60.73650000000001,44.99,0.05,drop,1.5183135999977821,50000,20
2,common,0.0,1707,1.35,60.73650000000001,44.99,0.05,drop,1.5463890999963041,50000,20
2,common,0.0,1708,1.35,60.73650000000001,44.99,0.05,drop,1.5408502999925986,50000,20
2,common,0.0,1709,1.35,60.73650000000001,44.99,0.05,drop,1.5204612000088673,50000,20
2,common,0.0,1710,1.35,60.73650000000001,44.99,0.05,drop,1.6378338999929838,50000,20
2,common,0.75,1701,1.35,60.73650000000001,44.99,0.05,drop,1.5515699999959907,50000,20
2,common,0.75,1702,1.35,60.73650000000001,44.99,0.05,drop,1.5643838999967556,50000,20
2,common,0.75,1703,1.35,60.73650000000001,44.99,0.05,drop,1.5389293000043835,50000,20
2,common,0.75,1704,1.35,60.73650000000001,44.99,0.05,drop,1.5655798999941908,50000,20
2,common,0.75,1705,1.35,60.73650000000001,44.99,0.05,drop,1.5581208000076003,50000,20
2,common,0.75,1706,1.35,60.73650000000001,44.99,0.05,drop,1.563281900002039,50000,20
2,common,0.75,1707,1.35,60.73650000000001,44.99,0.05,drop,1.5235383999970509,50000,20
2,common,0.75,1708,1.35,60.73650000000001,44.99,0.05,drop,1.5384159000095678,50000,20
2,common,0.75,1709,1.35,60.73650000000001,44.99,0.05,drop,1.5200556000054348,50000,20
2,common,0.75,1710,1.35,60.73650000000001,44.99,0.05,drop,1.5359923000069102,50000,20
2,common,0.975,1701,1.35,60.73650000000001,44.99,0.05,drop,1.500054399992223,50000,20
2,common,0.975,1702,1.35,60.73650000000001,44.99,0.05,drop,1.5054973999940557,50000,20
2,common,0.975,1703,1.35,60.73650000000001,44.99,0.05,drop,1.5607868999941275,50000,20
2,common,0.975,1704,1.35,60.73650000000001,44.99,0.05,drop,1.6150005999952555,50000,20
2,common,0.975,1705,1.35,60.73650000000001,44.99,0.05,drop,1.658646800002316,50000,20
2,common,0.975,1706,1.35,60.73650000000001,44.99,0.05,drop,1.6487482000084128,50000,20
2,common,0.975,1707,1.35,60.73650000000001,44.99,0.05,drop,1.739823099997011,50000,20
2,common,0.975,1708,1.35,60.73650000000001,44.99,0.05,drop,1.8193415999994613,50000,20
2,common,0.975,1709,1.35,60.73650000000001,44.99,0.05,drop,1.7596970000013243,50000,20
2,common,0.975,1710,1.35,60.73650000000001,44.99,0.05,drop,1.6618737999961013,50000,20
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.05,late,1.3189630999986548,50000,20
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.05,late,1.3263549999974202,50000,20
2,independent,0.0,1703,1.35,60.73650000000001,44.99,0.05,late,1.3445317000005161,50000,20
2,independent,0.0,1704,1.35,60.73650000000001,44.99,0.05,late,1.3366918000101577,50000,20
2,independent,0.0,1705,1.35,60.73650000000001,44.99,0.05,late,1.332393000004231,50000,20
2,independent,0.0,1706,1.35,60.73650000000001,44.99,0.05,late,1.3259014999930514,50000,20
2,independent,0.0,1707,1.35,60.73650000000001,44.99,0.05,late,1.3258664999884786,50000,20
