device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,sha256
device_0,0.75,1701,1.5,54.0675,0.01,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,22,78,187b12cee9b27b273a6ce9489959d901cb8d9dd8861815d670ed2252821bbf40
device_0,0.75,1701,1.5,54.0675,0.01,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,22,78,1cc5b4505e7b008942b9760d2dc8aa5471bf1932d1d090029fcd5739aa30c53c
device_0,0.75,1701,1.5,54.0675,0.05,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,22,478,f5d0b298a96d5b6f6c9a99539e088fefee78a6c0c93fb6df7590763067f9ce1f
device_0,0.75,1701,1.5,54.0675,0.05,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,22,478,e33c1d70bea1c6c0a85c6eb7b3f491439852ac79857653d734b57020240329df
device_0,0.75,1701,1.5,54.0675,0.1,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,22,978,988381c5ad9db37a024ce80306f16baef5ebc86f29d342534aaa23efdb7640bd
device_0,0.75,1701,1.5,54.0675,0.1,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,22,978,ef428faad284e7b62a4c8315353a9abec45ef35a17b4908eb99ff1e7e7846ac7
device_0,0.75,1701,1.5,54.0675,0.15,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,22,1478,72b385ef448293d7419322bb13087c3ca3824910f7683bc339529832dd83aa9c
device_0,0.75,1701,1.5,54.0675,0.15,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,22,1478,bbb5256ab736ceac1daf39b9de8f70416c0d2f6adfb244af58825852256fd7f0
device_0,0.75,1701,2.0,72.09,0.01,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,0,100,02175ed14f03b49be29ddeca30d8e022166a31a1c8202aade78eb7eade2ab49d
device_0,0.75,1701,2.0,72.09,0.01,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,0,100,fa4d6ec4923ef9c90e860be3037eb788bbe14ee9a87c8d14a0e9d8bba6d54009
device_0,0.75,1701,2.0,72.09,0.05,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,0,500,1a09a8edde73cbe99ca7d0d5eabf322da1cd29f66252e4ddce24f7d9a7130354
device_0,0.75,1701,2.0,72.09,0.05,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,0,500,ee69636cf66857dc2ee760b991359392c7e9acfa21071d36ef26b09788cb1e88
device_0,0.75,1701,2.0,72.09,0.1,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,0,1000,bf3721499d3e63b6295c1e699f1ebc1c62fe81000c9e5d383ca3d7d40bbcd0ec
device_0,0.75,1701,2.0,72.09,0.1,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,0,1000,60ce8e7cc5c1e8e79abece8d2a10757900a3d6d69c56566b3db56946a6ebed2b
device_0,0.75,1701,2.0,72.09,0.15,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,0,1500,4f4ab1296deec4bcc79e2d6a1639902ba9659f2012dc661cf229115b6b82b9fc
device_0,0.75,1701,2.0,72.09,0.15,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,0,1500,5aff27d740d9077ef3cc0f61a61bd752d48640b9c560ce25eb3a8ff31093df8f
device_0,0.75,1702,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,755,745,58e84352990e8b7f9a32cc90d57e650e3f5e557e12851c855d94d7e3f101a13b
device_0,0.75,1702,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,755,745,5c5b43d05ab1a55b150dc5ad2fee856fed2145049f139567dc3fc82f525ce77d
device_0,0.75,1702,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,353,647,b15b3c9f228421fae826d7093f7740085550836bd559901057f702973315d4cc
device_0,0.75,1702,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,353,647,31692f3ae69d7f31192d608bae6df1d30ad0d977d82a5a75002c5b84eb9c004b
device_0,0.75,1702,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,353,1147,7f5aa88be258ed6e2eca42fee6adc1a04d26d20ded793afbad260db94191b6c2
