device,rho,deadline_ratio,epsilon,skip_mode,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_state_bad_share_mean,violation_state_bad_share_std,boost_use_rate_mean,boost_use_rate_std,boost_use_rate_good_mean,boost_use_rate_good_std,boost_use_rate_bad_mean,boost_use_rate_bad_std,selected_v_mean,selected_v_std
device_0,0.0,1.35,0.05,drop,P0,0.09217692807029346,0.0001247512352847118,0.05,0.0,2.5,0.7071067811865476,21.5,4.949747468305833,0.331,0.0014142135623730963,0.10865,0.0013435028842544445,0.0,0.0,0.5319430155395604,0.006025266732957561,,
device_0,0.0,1.35,0.05,drop,P1,0.09623531831116619,0.0002748004705063804,0.00865,0.0009192388155425111,1.0,0.0,0.0,0.0,1.0,0.0,0.1135,0.00014142135623731355,0.0,0.0,0.5556914946147997,0.00011525771853298299,,
device_0,0.0,1.35,0.05,drop,P2,0.07987806542857465,9.043642622076625e-05,0.05,0.0,3.0,0.0,31.0,2.8284271247461903,1.0,0.0,0.07215,0.0010606601717798223,0.0,0.0,0.35324106789293075,0.004826077970279667,,
device_0,0.0,1.35,0.05,drop,P2prime,0.07988621840408136,8.93317799649892e-05,0.05,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.07215,0.0010606601717798223,0.0,0.0,0.35324106789293075,0.004826077970279667,,
device_0,0.0,1.35,0.05,drop,P3,0.08009736979666174,8.440746068134226e-05,0.05,0.0,2.0,0.0,11.5,2.1213203435596424,0.998,0.0028284271247461927,0.07235,0.0010606601717798223,0.0,0.0,0.354220260587506,0.004825060990410268,10.0,0.0
device_0,0.0,1.35,0.05,late,P0,0.09602589302713394,1.5911100343407707e-05,0.05,0.0,3.0,0.0,19.5,3.5355339059327378,0.33999999999999997,0.016970562748477136,0.1088,0.0007071067811865482,0.0,0.0,0.5326790280655562,0.0029087319231542604,,
device_0,0.0,1.35,0.05,late,P1,0.09780372201275622,0.00010560423825307088,0.00865,0.0009192388155425111,1.0,0.0,0.0,0.0,1.0,0.0,0.1135,0.00014142135623731355,0.0,0.0,0.5556914946147997,0.00011525771853298299,,
device_0,0.0,1.35,0.05,late,P2,0.0866954105212488,0.0001227569386387609,0.05,0.0,3.0,0.0,17.5,0.7071067811865476,1.0,0.0,0.07215,0.0010606601717798223,0.0,0.0,0.35324106789293075,0.004826077970279667,,
device_0,0.0,1.35,0.05,late,P2prime,0.0867035377046714,0.00012400116590947303,0.05,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.07215,0.0010606601717798223,0.0,0.0,0.35324106789293075,0.004826077970279667,,
device_0,0.0,1.35,0.05,late,P3,0.08717304444999777,9.35857451868741e-05,0.05,0.0,2.0,0.0,10.0,2.8284271247461903,0.997,0.0014142135623730963,0.07250000000000001,0.0011313708498984741,0.0,0.0,0.35495447533009705,0.005170495152719437,10.0,0.0
device_0,0.0,1.35,0.1,drop,P0,0.08739902375738398,0.0002326310032053046,0.1,0.0,3.5,0.7071067811865476,90.5,10.606601717798213,0.2695,0.014849242404917511,0.10289999999999999,0.00042426406871192595,0.0,0.0,0.5037957200290331,0.0026004175260784055,,
device_0,0.0,1.35,0.1,drop,P1,0.09623531831116619,0.0002748004705063804,0.00865,0.0009192388155425111,1.0,0.0,0.0,0.0,1.0,0.0,0.1135,0.00014142135623731355,0.0,0.0,0.5556914946147997,0.00011525771853298299,,
device_0,0.0,1.35,0.1,drop,P2,0.06037962209678055,9.31089538888232e-05,0.1,0.0,4.0,0.0,96.0,9.899494936611665,1.0,0.0,0.02215,0.0010606601717798223,0.0,0.0,0.10844289424910661,0.005080322937631876,,
